Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume
education,"PhD, Genetic Epidemiology",Lund University,"Malmö, SE",2018,2023,Thesis: Use of data mining and artificial intelligence to derive public health evidence from large datasets,"Coursework included: Applied Statistics, Applied Statistics in Clinical Research, Introduction to Deep Learning, Artificial Intelligence in Medicine and Life Sciences.",,TRUE
education,Master of Medical Science in Public Health and Epidemiology,Lund University,"Lund, SE ",2016,2018,Thesis: A global overview of Precision Medicine in type 2 diabetes: a systematic review.,"Coursework included: Epidemiology and Public Health Research Methodology, Planning and Leadership, Applied Public Health Research Methods.",,TRUE
education,Exercise Sciences,Kent State University,"Kent, US",2012,2013,Exchange Student - Science without Borders Program,,,TRUE
education,Bachelors degree in Physiotherapy,Universidade Federal de Pernambuco,"Recife, BR",2008,2014,Thesis: Effects of taping on the contractile activity and strengthening of skeletal muscles: a narrative review (free translation from Portuguese).,,,TRUE
research_positions,Postdoctoral Fellow,Diabetic Complications unit,Lund University,2023,Current,"I am leading the data analysis for a multicenter project involving European universities and hospitals, using machine learning algorithms on clinical, biobank, and image data to identify and validate prognostic and predictive biomarkers for rapid aggressive disease progression in diabetic kidney disease (DKD).","Responsible for the harmonization of biobank and clinical data across multiple European centers, ensuring data integrity and consistency in collaborative research environments.","Contributed to various systematic review projects, where I was responsible for implementing Natural Language Processing (NLP) techniques to extract and analyze key information from scientific papers, and for creating and maintaining data dashboards for exploring results.",TRUE
research_positions,PhD Candidate,GAME unit,Lund University,2018,2023,"Led the implementation of the CDISC format for the “All New Diabetics In Scania” (ANDIS) cohort within the IMI-RHAPSODY project, integrating clinical and OMICs data. This standardized data was essential for performing cross-validation and replication studies aimed at identifying subtypes of type 2 diabetes.","Served as the primary analyst for the COVID Symptom Study Sweden, where I developed predictive models to estimate COVID-19 prevalence and hospital admissions using app-based data5. I also created and maintained an online dashboard for real-time data dissemination during the SARS-CoV-2 pandemic, enhancing public health response strategies. ","Employed data mining and Natural Language Processing (NLP) algorithms to analyze the characteristics of genomic research on non-communicable diseases (NCDs) from scientific literature and the GWAS Catalog. My work focused on identifying trends and disparities, contributing valuable insights into the genetic underpinnings of these conditions.",TRUE
research_positions,Research intern,GAME unit,Lund University,2017,2018,"Collaborated on projects integrating genomic and clinical data to explore gene-environment interactions, leveraging statistical models and machine learning algorithms.",Developed an R package utilizing NLP’s Named Entity Recognition (NER) to automate the systematic extraction and analysis of key data from scientific documents.,"Conducted a comprehensive review on precision medicine in type 2 diabetes, emphasizing the integration of genomics into clinical practice and highlighting the required technological and data infrastructure.",TRUE
research_positions,Freelance Data Scientist,,Remote,2018,2018,"During this brief period, I primarily focused on projects related to text mining, machine learning, predictive modeling, and academic research.",,,TRUE
complementary_education,Introducing Generative AI with AWS,Udacity,MOOC,2024,2024,"This course offered an in-depth exploration of generative AI, emphasizing its foundational concepts and real-world applications. It covered foundational concepts in machine learning and generative AI with hands-on practice.",,,
